Refeicao: 12:00 - Dejejum
Banana,125.00,g,124.00
Aveia em flocos,30.00,g,118.00
Coco,20.00,g,71.00
Whey 3 Protein,30.00,g,126.00
Yakult,100.00,g,51.00
Total de calorias,490.00

Refeicao: 14:00 - Almoço
Arroz branco,125.00,g,160.00
Feijão carioca,90.00,g,68.00
Cenoura,50.00,g,43.00
Tomate,25.00,g,4.00
Carne Bife,150.00,g,186.00
Total de calorias,461.00

Refeicao: 18:30 - Lanche da tarde
Tapioca de goma,15.00,g,37.00
Ovo,3.00,un,189.00
Patinho moída,120.00,g,160.00
Tomate,25.00,g,4.00
Mussarela,30.00,g,85.00
Total de calorias,475.00

Refeicao: 22:00 - Ceia
Banana,125.00,g,124.00
Chocolate 70%,25.00,g,245.00
Whey 3 Protein,30.00,g,126.00
Coco,20.00,g,71.00
Castanha,5.00,g,77.00
Total de calorias,643.00

Total de calorias Geral,2069.00
